Дата поста (UTC),Время поста,Количество лайков
2022-12-27,13:26:02,61
2022-12-20,05:41:12,47
2022-12-15,04:45:00,6
2022-12-14,16:10:15,25
2022-12-08,12:51:37,70
2022-12-02,10:26:13,14
2022-12-01,17:08:34,12
2022-11-27,14:40:20,68
2022-11-22,12:28:46,7
2022-11-17,08:50:14,10
2022-11-14,14:11:51,62
2022-11-09,22:00:00,18
2022-11-09,14:45:42,65
2022-11-01,18:34:54,10
2022-11-01,05:00:00,8
2022-10-29,04:00:00,7
2022-10-27,09:18:20,101
2022-10-26,15:42:41,12
2022-10-25,07:00:00,6
2022-10-24,09:30:07,66
2022-10-23,08:43:38,114
2022-10-23,08:39:39,3
2022-10-21,16:40:16,44
2022-10-21,16:20:59,10
2022-10-20,08:08:08,98
2022-10-16,16:04:39,10
2022-10-16,07:00:00,6
2022-10-13,09:19:10,10
2022-10-11,19:45:53,99
2022-10-08,08:16:46,12
2022-10-06,06:24:07,53
2022-10-04,17:13:16,58
2022-10-03,09:00:51,48
2022-10-02,07:00:00,4
2022-09-29,08:17:03,103
2022-09-29,08:12:10,95
2022-09-27,17:12:13,99
2022-09-25,19:25:20,83
2022-09-24,07:00:57,65
2022-09-23,08:11:47,127
2022-09-22,07:51:35,109
2022-09-21,15:58:04,6
2022-09-20,17:35:21,6
2022-09-15,18:28:00,48
2022-09-08,09:19:35,74
2022-09-01,17:37:33,9
2022-08-31,05:00:00,4
2022-08-30,17:50:11,11
2022-08-28,06:00:00,4
2022-08-27,07:45:00,5
2022-08-24,16:46:36,8
2022-08-23,10:21:30,49
2022-08-20,15:38:07,3
2022-08-19,05:14:00,32
2022-08-18,10:00:02,3
2022-08-14,18:01:24,2
2022-08-14,10:49:04,14
2022-08-14,06:22:00,93
2022-08-12,18:46:07,3
2022-08-11,15:51:43,6
2022-08-10,16:05:03,2
2022-08-03,06:47:09,3
2022-08-02,08:49:00,25
2022-08-01,11:40:00,44
2022-07-29,08:27:11,76
2022-07-28,08:06:00,4
2022-07-26,16:44:53,121
2022-07-23,08:05:16,4
2022-07-22,05:55:28,4
2022-07-20,18:12:39,8
2022-07-19,15:22:26,5
2022-07-17,08:11:40,3
2022-07-17,08:02:19,3
2022-07-15,17:59:43,65
2022-07-14,18:17:03,2
2022-07-12,18:22:27,57
2022-07-10,09:21:30,9
2022-07-05,18:41:53,72
2022-07-05,07:44:12,60
2022-07-04,05:53:21,8
2022-07-03,19:25:16,9
2022-06-28,17:37:48,7
2022-06-28,05:29:10,5
2022-06-24,14:04:27,4
2022-06-22,05:57:03,2
2022-06-21,16:31:09,6
2022-06-18,05:59:36,4
2022-06-14,16:51:47,5
2022-06-14,04:06:00,9
2022-06-13,15:51:38,9
2022-06-13,02:30:00,4
2022-06-12,16:35:30,4
2022-06-07,09:57:51,9
2022-06-05,17:50:24,55
2022-06-04,16:19:41,3
2022-06-02,13:45:43,3
2022-05-27,18:32:18,4
2022-05-22,03:00:00,3
2022-05-21,18:48:48,4
2022-05-21,13:15:55,13
2022-05-19,19:11:27,3
2022-05-16,17:44:38,4
2022-05-14,04:30:49,2
2022-05-13,03:06:00,3
2022-05-11,16:08:09,6
2022-05-07,17:35:57,11
2022-05-07,05:04:27,6
2022-05-02,17:31:50,6
2022-04-28,17:44:17,7
2022-04-26,19:20:30,6
2022-04-25,17:08:12,8
2022-04-23,16:40:06,2
2022-04-18,17:11:07,2
2022-04-17,16:28:56,7
2022-04-15,06:34:20,1
2022-04-10,18:04:07,1
2022-04-04,17:14:18,5
2022-04-02,19:15:41,3
2022-03-31,16:11:48,5
2022-03-27,19:57:48,7
2022-03-27,14:42:56,7
2022-03-25,15:59:19,3
2022-03-23,18:23:50,10
2022-03-20,07:38:10,3
2022-03-14,18:59:17,9
2022-03-12,05:29:29,2
2022-03-07,22:46:17,1
2022-03-07,18:19:03,6
2022-03-06,05:00:00,3
2022-03-02,13:17:39,4
2022-03-01,06:49:20,18
2022-02-28,23:00:00,2
2022-02-24,20:04:08,3
2022-02-04,17:05:37,1
2022-02-03,10:00:00,3
2022-01-31,17:38:42,2
2022-01-31,04:34:00,3
2022-01-29,00:00:00,2
2022-01-27,18:10:36,7
2022-01-25,15:15:39,3
2022-01-22,15:02:17,2
2022-01-19,08:31:00,4
2022-01-18,17:48:28,4
2022-01-16,14:10:42,3
2022-01-12,16:29:29,3
2022-01-11,19:34:25,2
2022-01-07,16:06:59,11
2022-01-04,10:30:00,1
2022-01-03,19:23:00,10
2022-01-02,14:50:43,0
2022-01-01,15:36:25,1
2022-01-01,07:55:45,5
2021-12-30,05:09:31,1
2021-12-29,15:30:19,8
2021-12-27,17:05:16,9
2021-12-24,05:39:16,6
2021-12-23,19:06:19,15
2021-12-23,04:00:00,2
2021-12-22,19:14:15,12
2021-12-22,16:21:39,4
2021-12-20,18:20:57,7
2021-12-20,18:05:36,20
2021-12-19,15:59:38,6
2021-12-14,04:19:00,4
2021-12-13,13:43:35,1
2021-12-11,16:38:27,1
2021-12-02,19:34:27,11
2021-11-26,16:43:04,1
2021-11-24,18:14:10,11
2021-11-23,17:13:34,0
2021-11-19,16:54:36,2
2021-11-18,19:04:32,0
2021-11-16,17:41:14,2
2021-11-16,17:31:10,0
2021-11-11,16:23:22,1
2021-11-10,18:16:15,1
2021-11-10,18:11:19,1
2021-11-10,17:57:49,1
2021-11-10,17:51:24,1
2021-11-09,18:36:42,1
2021-11-08,15:53:54,17
2021-11-06,16:37:35,2
2021-10-29,05:06:21,2
2021-10-29,04:55:24,1
2021-10-17,13:54:48,2
2021-10-16,18:52:44,8
2021-10-14,16:53:29,1
2021-10-12,17:45:05,7
2021-09-30,16:08:09,3
2021-09-29,15:23:29,14
2021-09-21,19:09:13,0
2021-09-20,16:14:42,0
2021-09-16,18:29:40,3
2021-09-04,17:11:06,12
2021-09-03,16:23:16,12
2021-08-25,18:56:33,0
2021-08-11,07:17:00,7
2021-08-05,15:14:45,1
2021-07-30,17:53:01,2
2021-07-26,19:06:21,11
2021-07-26,11:30:00,1
2021-07-24,18:33:39,0
2021-07-16,15:48:07,0
2021-07-13,11:30:00,5
2021-07-12,17:17:49,12
2021-07-10,06:18:04,2
2021-06-23,15:05:36,0
2021-06-22,14:53:35,9
2021-06-20,10:08:00,4
2021-06-18,10:30:00,3
2021-06-17,17:19:43,1
2021-06-16,17:44:59,1
2021-06-16,06:33:00,5
2021-06-13,17:38:18,3
2021-06-12,17:39:54,5
2021-06-10,19:40:00,0
2021-06-10,16:49:52,10
2021-05-31,14:36:23,0
2021-05-29,17:50:16,1
2021-05-22,17:39:14,1
2021-05-20,18:38:55,7
2021-05-18,16:12:19,0
2021-05-14,15:00:29,0
2021-05-12,13:47:59,0
2021-05-07,18:08:19,1
2021-05-01,15:02:03,1
2021-04-27,16:26:50,0
2021-04-24,18:55:45,1
2021-04-22,15:51:19,3
2021-04-16,15:47:36,1
2021-04-14,18:57:45,3
2021-04-13,19:04:17,1
2021-04-13,14:45:05,2
